Age,Gender,Membership_Years,Login_Frequency,Session_Duration,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Opening_Rate,Customer_Support_Calls,Product_Rating_Average,Social_Media_Engagement,Mobile_App_Usage_Time,Payment_Failures,Credit_Balance,Lifetime_Value,Churned
43,Male,2.9,14,27.399999618530273,6,50.6,3,9,94.72000122070312,34,46.4,2,17.899999618530273,9,4,16.299999237060547,20.799999237060547,1,58.36,953.33,0
36,Male,1.6,15,42.70000076293945,10.300000190734863,37.7,1,20,82.44999694824219,71,57.96,9.199999809265137,42.79999923706055,7,3,29.49,23.299999237060547,3,58.36,1067.47,0
45,Female,2.9,10,24.799999237060547,1.600000023841858,70.9,1,9,165.52000427246094,11,12.24,11.5,0,4,1,29.41,8.800000190734863,0,58.36,1289.75,0
56,Female,2.6,10,38.400001525878906,14.800000190734863,41.7,9,15,147.3300018310547,47,44.1,5.400000095367432,41.400001525878906,2,5,85.9000015258789,31,3,58.36,2340.92,0
35,Male,3.1,29,51.400001525878906,12.15,19.1,9,32,141.3000030517578,73,25.2,5.5,37.900001525878906,1,11,83,50.400001525878906,4,58.36,3041.29,0
35,Male,3.5,6,21.899999618530273,6.900000095367432,74.4,0,12,190.97000122070312,29,60.2,11,16,8,2,14.300000190734863,11.199999809265137,2,69.72,1995.43,1
56,Male,1.9,24,46.400001525878906,13.899999618530273,36.2,5,20,169.5800018310547,10,27.8,5.5,35.5,4,6,68.80000305175781,42.900001525878906,5,58.36,3003.57,0
47,Female,1.6,14,24.100000381469727,8.300000190734863,59.9,2,13,161.97999572753906,6,77.16,6.300000190734863,5.5,5,3,30.100000381469727,7.599999904632568,2,58.36,1394.04,0
32,Male,1.3,14,21,7.400000095367432,66.5,4,6,77.79000091552734,13,1.8,9.899999618530273,19,2,0,0,18.700000762939453,2,58.36,537.21,0
44,Male,3.6,13,31.299999237060547,5.400000095367432,62.6,3,9,90.94999694824219,38,65.5,6.45,11.699999809265137,2,1,13.5,21.5,2,58.36,807.84,0
32,Male,0.9,0,12.300000190734863,2.9000000953674316,73.5,0,5,118,23,46.2,5.099999904632568,0,11,2,17,8,1,69.72,599.41,1
32,Female,0.6,11,12.100000381469727,5.599999904632568,77.2,0,5,78.87999725341797,36,72,4.800000190734863,4,7,1,0,17.700000762939453,2,69.72,335.92,1
